strategy,peakOvr,finalLeague,nhlGames,championships,individualAwards,retirementAge,careerEarnings,wasDemoted,hitUFA
OPTIMIZER,299,,64,0,0,17,0,false,false
OPTIMIZER,291,,67,0,0,17,0,false,false
OPTIMIZER,266,,76,0,0,17,0,false,false
OPTIMIZER,302,,68,0,0,17,0,false,false
OPTIMIZER,264,,72,0,0,17,0,false,false
OPTIMIZER,289,,61,0,0,17,0,false,false
OPTIMIZER,271,,62,0,0,17,0,false,false
OPTIMIZER,267,,65,0,0,17,0,false,false
OPTIMIZER,306,,68,0,0,17,0,false,false
OPTIMIZER,263,,70,0,0,17,0,false,false
OPTIMIZER,271,,77,0,0,17,0,false,false
OPTIMIZER,319,,68,0,0,17,0,false,false
OPTIMIZER,287,,72,0,0,17,0,false,false
OPTIMIZER,316,,71,0,0,17,0,false,false
OPTIMIZER,275,,69,0,0,17,0,false,false
OPTIMIZER,284,,71,0,0,17,0,false,false
OPTIMIZER,280,,77,0,0,17,0,false,false
OPTIMIZER,283,,75,0,0,17,0,false,false
OPTIMIZER,244,,72,0,0,17,0,false,false
OPTIMIZER,267,,68,0,0,17,0,false,false
OPTIMIZER,296,,72,0,0,17,0,false,false
OPTIMIZER,286,,67,0,0,17,0,false,false
OPTIMIZER,254,,67,0,0,17,0,false,false
OPTIMIZER,302,,67,0,0,17,0,false,false
OPTIMIZER,312,,62,0,0,17,0,false,false
OPTIMIZER,291,,65,0,0,17,0,false,false
OPTIMIZER,319,,74,0,0,17,0,false,false
OPTIMIZER,258,,76,0,0,17,0,false,false
OPTIMIZER,296,,66,0,0,17,0,false,false
OPTIMIZER,271,,71,0,0,17,0,false,false
OPTIMIZER,298,,65,0,0,17,0,false,false
OPTIMIZER,295,,65,0,0,17,0,false,false
OPTIMIZER,280,,68,0,0,17,0,false,false
OPTIMIZER,280,,72,0,0,17,0,false,false
OPTIMIZER,256,,68,0,0,17,0,false,false
OPTIMIZER,306,,70,0,0,17,0,false,false
OPTIMIZER,253,,67,0,0,17,0,false,false
OPTIMIZER,272,,77,0,0,17,0,false,false
OPTIMIZER,272,,61,0,0,17,0,false,false
OPTIMIZER,303,,69,0,0,17,0,false,false
OPTIMIZER,292,,63,0,0,17,0,false,false
OPTIMIZER,321,,74,0,0,17,0,false,false
OPTIMIZER,289,,70,0,0,17,0,false,false
OPTIMIZER,291,,68,0,0,17,0,false,false
OPTIMIZER,297,,75,0,0,17,0,false,false
OPTIMIZER,303,,75,0,0,17,0,false,false
OPTIMIZER,305,,66,0,0,17,0,false,false
OPTIMIZER,293,,63,0,0,17,0,false,false
OPTIMIZER,264,,73,0,0,17,0,false,false
OPTIMIZER,271,,74,0,0,17,0,false,false
OPTIMIZER,330,,75,0,0,17,0,false,false
OPTIMIZER,296,,68,0,0,17,0,false,false
OPTIMIZER,274,,63,0,0,17,0,false,false
OPTIMIZER,306,,64,0,0,17,0,false,false
OPTIMIZER,285,,76,0,0,17,0,false,false
OPTIMIZER,231,,63,0,0,17,0,false,false
OPTIMIZER,273,,66,0,0,17,0,false,false
OPTIMIZER,314,,61,0,0,17,0,false,false
OPTIMIZER,291,,73,0,0,17,0,false,false
OPTIMIZER,326,,72,0,0,17,0,false,false
OPTIMIZER,284,,64,0,0,17,0,false,false
OPTIMIZER,310,,62,0,0,17,0,false,false
OPTIMIZER,304,,71,0,0,17,0,false,false
OPTIMIZER,298,,73,0,0,17,0,false,false
OPTIMIZER,284,,65,0,0,17,0,false,false
OPTIMIZER,287,,72,0,0,17,0,false,false
OPTIMIZER,297,,65,0,0,17,0,false,false
OPTIMIZER,293,,74,0,0,17,0,false,false
OPTIMIZER,341,,68,0,0,17,0,false,false
OPTIMIZER,292,,69,0,0,17,0,false,false
OPTIMIZER,292,,73,0,0,17,0,false,false
OPTIMIZER,290,,63,0,0,17,0,false,false
OPTIMIZER,299,,76,0,0,17,0,false,false
OPTIMIZER,292,,71,0,0,17,0,false,false
OPTIMIZER,281,,65,0,0,17,0,false,false
OPTIMIZER,293,,77,0,0,17,0,false,false
OPTIMIZER,297,,61,0,0,17,0,false,false
OPTIMIZER,292,,67,0,0,17,0,false,false
OPTIMIZER,322,,75,0,0,17,0,false,false
OPTIMIZER,289,,65,0,0,17,0,false,false
OPTIMIZER,277,,74,0,0,17,0,false,false
OPTIMIZER,288,,65,0,0,17,0,false,false
OPTIMIZER,286,,63,0,0,17,0,false,false
OPTIMIZER,308,,77,0,0,17,0,false,false
OPTIMIZER,311,,68,0,0,17,0,false,false
OPTIMIZER,276,,64,0,0,17,0,false,false
OPTIMIZER,290,,64,0,0,17,0,false,false
OPTIMIZER,335,,63,0,0,17,0,false,false
OPTIMIZER,302,,62,0,0,17,0,false,false
OPTIMIZER,299,,67,0,0,17,0,false,false
OPTIMIZER,295,,76,0,0,17,0,false,false
OPTIMIZER,262,,66,0,0,17,0,false,false
OPTIMIZER,263,,77,0,0,17,0,false,false
OPTIMIZER,288,,65,0,0,17,0,false,false
